Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax
AUDI,S5,Used,20000,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,250
AUDI,S5,Used,26750,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,26250,2016,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,
AUDI,S5,Used,26587,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,26995,2016,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,26798,2014,Convertible,Petrol,3.0L,34.9 mpg,5.4,Automatic,quattro,189,2 doors,4 seats,290
AUDI,S5,Used,26750,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,26000,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,26950,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,25890,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,25000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,20750,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,290
AUDI,S5,Used,25000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,20000,2015,Coupe,Petrol,3.0L,,,Automatic,,178,2 doors,4 seats,250
AUDI,S5,Used,21000,2015,Hatchback,Petrol,3.0L,,,Automatic,,,5 doors,,
AUDI,S5,Used,20500,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,250
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,20795,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,
AUDI,S5,Used,21995,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,290
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,17495,2007,Coupe,Petrol,4.2L,23.3 mpg,5.1,Manual,quattro,288,3 doors,4 seats,540
AUDI,S5,Used,20000,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,250
AUDI,S5,Used,17995,2011,Hatchback,Petrol,3.0L,33.2 mpg,5.4,Automatic,quattro,199,5 doors,4 seats,290
AUDI,S5,Used,17995,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,14950,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,16490,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,15980,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,15250,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,15000,2010,Hatchback,Petrol,3.0L,30.1 mpg,5.4,Automatic,quattro,219,5 doors,4 seats,315
AUDI,S5,Used,15980,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,15495,2010,Hatchback,Petrol,3.0L,30.1 mpg,5.4,Automatic,quattro,219,5 doors,4 seats,315
AUDI,S5,Used,16490,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,16495,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,16494,2007,Coupe,Petrol,4.2L,26.2 mpg,5.4,Automatic,quattro,256,3 doors,4 seats,
AUDI,S5,Used,16489,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,290
AUDI,S5,Used,16400,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,290
AUDI,S5,Used,16250,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,290
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,16950,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,16495,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,
AUDI,S5,Used,17995,2010,Hatchback,Petrol,3.0L,30.1 mpg,5.4,Automatic,quattro,219,5 doors,4 seats,315
AUDI,S5,Used,17989,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,17982,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,17490,2011,Hatchback,Petrol,3.0L,34.9 mpg,5.1,Automatic,quattro,190,5 doors,4 seats,290
AUDI,S5,Used,17450,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,290
AUDI,S5,Used,17495,2007,Coupe,Petrol,4.2L,23.3 mpg,5.1,Manual,quattro,288,3 doors,4 seats,540
AUDI,S5,Used,14950,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,14950,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,13490,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,14950,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,15000,2010,Hatchback,Petrol,3.0L,30.1 mpg,5.4,Automatic,quattro,219,5 doors,4 seats,315
AUDI,S5,Used,14000,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,13995,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,13995,2009,Convertible,Petrol,3.0L,29.1 mpg,5.6,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,13995,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,13992,2007,Coupe,Petrol,4.2L,23.3 mpg,5.1,Manual,quattro,288,3 doors,4 seats,540
AUDI,S5,Used,14995,2007,Coupe,Petrol,4.2L,26.2 mpg,5.4,Automatic,quattro,0,3 doors,4 seats,140
AUDI,S5,Used,13991,2007,Coupe,Petrol,4.2L,26.2 mpg,5.4,Automatic,quattro,256,3 doors,4 seats,540
AUDI,S5,Used,14995,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,315
AUDI,S5,Used,14995,2009,Convertible,Petrol,3.0L,29.1 mpg,5.4,Automatic,quattro,224,2 doors,4 seats,
